"Student_ID","School_ID","Sex","Race","English","DOB","Num_Siblings","Parent_Highest_ED","Fam_Income","Stan_Comp_Test_Q_B","Math_Q_B","Reading_Q_B","Class_Prep_B","Writing_Ability_B","Hours_HW_B","Hours_TV_B","Student_Job_B","Varsity_Baseball_B","JV_Baseball_B","JV_Softball_B","Varsity_Softball_B","JV_Basketball_B","Varsity_Basketball_B","JV_Football_B","Varsity_Football_B","JV_Soccer_B","Varsity_Soccer_B","JV_Other_B","Varsity_Other_B","JV_Individual_B","Varsity_Individual_B","Band_Chorus_B","Play_Musical_B","Student_Gov_B","Honor_Society_B","Yearbook_Newspaper_B","Service_Clubs_B","Hours_Spent_ExtraCiriculars_B","Num_Sports_B","Highest_Level_Sport_B","Future_Edu_Plans_B","Standardized_Test_F1","Int_Mural_F1","Int_Schol_F1","Grade_Level_F1","Math_Q_F1","Total_AP_F1","Total_GPA_F1","Senior_GPA_F1","Sophomore_GPA_F1","Band_Chorus_F1","Post_Secondary_College_F2","Highest_Ed_F2","Applied_College_F2","College_Type_F2","Highest_Ed_Expected_F2","Int_Mur_JV_F2","Int_Col_Varsity_F2","Post_Secondary_Adult_F3","High_School_F3","GED_F3","Credential_F3","Four_Year_F3"
386121,-5,-4,-4,-4,-4,-4,-4,10,3,3,3,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,3,1,1,3,3,-5,-5,-5,-5,1,1,6,1,2,6,1,1,-4,-4,0,-4,-4
386122,-5,2,4,1,198602,-4,2,7,2,2,2,-0.215,-9,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,1,3,3,-5,-5,-5,-5,1,1,6,1,2,7,1,1,1,0,0,0,0
386123,-5,2,7,1,198704,1,7,8,3,4,2,0.555,0.406,12,2,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,12,4,1,6,-8,-8,-8,-8,-8,-5,-5,-5,-5,-8,-4,-4,-4,-4,-4,-4,-4,-4,0,0,-4,-4
386201,-5,1,7,1,198607,1,4,10,3,2,3,-9,-0.6,4,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-6,0,0,0,0,3,2,2,5,1,1,2,3,2,-5,-5,-5,-5,2,-8,-8,-8,-8,-8,-8,-8,1,1,0,0,0
386202,-5,1,7,1,198510,1,6,10,4,4,4,-9,0.32,21,5,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-6,0,0,0,0,0,10,2,2,5,3,2,3,3,4,-5,-5,-5,-5,1,1,6,1,1,6,1,2,1,1,0,1,0
386203,-5,1,7,1,198605,2,7,11,4,4,4,0.743,0.509,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,1,2,7,3,2,2,3,4,-5,-5,-5,-5,1,1,6,1,1,7,1,1,1,0,0,0,1
386204,-5,1,7,1,198510,1,2,10,3,4,2,1.034,0.704,17,-9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,7,2,2,5,3,1,2,3,4,-5,-5,-5,-5,1,1,6,1,1,7,2,1,1,0,0,1,0
386205,-5,1,2,1,198601,1,7,2,3,2,3,-9,0.052,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,-1,3,2,1,3,2,-5,-5,-5,-5,1,1,6,1,2,6,2,1,1,0,0,0,1
386206,-5,1,4,0,198606,3,8,8,3,3,3,0.284,0.247,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,3,4,-5,-5,-5,-5,1,1,6,1,2,6,1,1,1,0,0,0,0
386207,-5,1,7,1,198607,0,6,10,4,4,4,-0.195,0.618,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,5,0,0,5,3,1,1,3,4,-5,-5,-5,-5,3,1,6,1,1,7,1,1,1,0,0,1,0
386208,-5,2,7,1,198603,1,2,9,3,3,4,1.034,1.27,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6,3,1,2,3,2,-5,-5,-5,-5,1,1,6,0,1,6,1,1,1,1,0,1,0
386209,-5,2,7,1,198604,1,6,10,3,2,4,1.034,-0.709,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,-1,3,1,1,3,2,-5,-5,-5,-5,1,1,6,1,1,6,2,2,1,0,0,1,0
386210,-5,2,7,1,198606,1,5,8,4,4,3,-9,-4,3,-9,-9,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,-7,0,0,0,0,1,0,5,-9,-9,6,4,2,1,3,2,-5,-5,-5,-5,1,1,4,1,9,4,1,1,1,-9,0,1,0
386211,-5,2,7,1,198602,2,6,7,4,3,4,1.034,1.001,7,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,7,3,2,5,3,1,3,3,3,-5,-5,-5,-5,1,1,6,1,1,7,2,1,1,1,0,1,1
386212,-5,1,3,1,198509,0,2,9,2,2,2,1.034,0.217,3,2,0,-9,-9,-9,-9,0,1,0,1,-9,-9,-9,-9,-9,-9,0,0,0,0,1,0,0,2,2,5,3,3,-9,3,1,-5,-5,-5,-5,1,-4,-4,-4,-4,-4,-4,-4,1,0,0,0,0
386213,-5,1,7,1,198605,2,3,9,3,3,3,1.034,0.052,11,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,6,0,0,5,3,1,1,3,4,-5,-5,-5,-5,2,1,6,1,1,7,2,1,1,0,0,0,1
386214,-5,1,7,1,198508,2,7,10,3,4,2,-0.195,1.459,12,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,8,2,2,7,3,2,2,3,4,-5,-5,-5,-5,1,1,6,1,1,6,2,1,1,0,0,1,0
386215,-5,1,7,1,198601,2,7,10,4,3,4,-0.195,1.356,5,3,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,10,5,3,5,3,2,1,3,4,-5,-5,-5,-5,1,1,6,1,1,7,1,1,1,0,0,1,1
386216,-5,1,7,1,198602,4,6,9,4,4,3,0.575,0.704,3,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,7,3,1,2,3,4,-5,-5,-5,-5,3,1,6,1,1,7,1,1,1,0,0,1,1
386217,-5,1,7,1,198602,2,7,9,4,4,4,0.555,-0.246,10,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,5,3,2,3,3,4,-5,-5,-5,-5,1,1,6,1,1,6,3,1,1,1,0,1,1
386219,-5,1,7,1,198507,3,2,9,4,4,4,1.034,-0.246,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,3,4,-5,-5,-5,-5,2,-4,-4,-4,-4,-4,-4,-4,0,1,0,-3,-3
386220,-5,2,7,1,198609,4,7,10,3,2,3,0.575,0.349,5,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,10,4,3,5,3,2,3,3,2,-5,-5,-5,-5,1,1,6,1,1,7,3,1,-4,1,0,-4,-4
386221,-5,2,7,1,198603,1,7,11,3,2,3,0.743,0.807,38,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,6,2,3,7,3,3,3,3,2,-5,-5,-5,-5,1,1,6,1,2,8,2,1,1,1,0,0,1
386222,-5,2,7,1,198511,0,5,9,2,2,3,1.034,1.001,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,6,3,1,1,3,1,-5,-5,-5,-5,1,1,6,1,1,7,1,1,1,0,0,1,0
386223,-5,1,7,1,198602,2,6,9,3,2,3,0.284,-0.898,14,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,18,2,2,6,3,2,2,3,2,-5,-5,-5,-5,2,1,6,1,1,7,2,1,1,0,0,1,0
387101,-5,1,7,1,198608,0,6,10,2,1,3,0.264,-9,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,5,3,3,3,3,1,-5,-5,-5,-5,1,0,3,0,-3,6,-3,-3,1,0,0,1,0
387102,-5,1,2,0,198609,2,3,8,3,4,2,0.743,0.052,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,6,3,2,1,3,3,-5,-5,-5,-5,1,1,6,1,2,6,1,1,1,0,0,1,1
387103,-5,1,7,1,198607,0,4,10,1,1,1,-0.195,-4,4,5,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,1,2,-4,-4,-4,-4,-8,-5,-5,-5,-5,-4,1,5,1,6,4,1,1,1,1,0,1,0
387104,-5,1,3,1,198601,-9,4,9,1,2,1,-2.07,0.618,26,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,99,99,-1,-4,-4,-4,-4,-8,-5,-5,-5,-5,-4,0,3,1,-3,3,-3,-3,1,0,0,0,-9
387106,-5,1,7,1,198511,-9,2,4,1,1,1,-2.192,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2,1,1,3,1,-5,-5,-5,-5,1,0,3,0,-3,3,-3,-3,0,0,0,-3,-3
387107,-5,1,7,1,198602,1,2,12,1,2,1,0.264,-4,1,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,3,2,1,3,1,-5,-5,-5,-5,1,1,5,1,4,9,1,3,-4,0,0,-4,-4
387108,-5,1,7,1,198701,-4,2,10,1,1,1,-2.361,0.052,4,7,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,-4,-4,-4,-4,-8,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,1,1,0,1,0
387109,-5,1,7,1,198603,0,3,10,1,1,1,0.264,0.052,20,99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,2,2,6,3,3,3,3,1,-5,-5,-5,-5,1,1,6,1,1,6,2,3,1,0,0,1,0
387110,-5,1,3,1,198607,1,4,9,2,2,2,0.264,-9,-9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-4,-4,-4,-4,-8,-5,-5,-5,-5,-4,1,5,1,4,4,2,1,-4,0,0,-4,-4
387111,-5,1,3,1,198610,1,5,11,2,3,1,-1.882,0.618,8,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,0,0,0,0,0,5,-4,-4,-4,-4,-8,-5,-5,-5,-5,-4,-4,-4,-4,-4,-4,-4,-4,1,0,0,1,0
387112,-5,1,7,1,198603,-9,4,5,2,3,2,0.264,0.052,5,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,3,2,-5,-5,-5,-5,1,0,3,0,-3,6,-3,-3,0,1,0,-3,-3
387113,-5,1,7,1,198606,-4,3,5,2,3,1,0.284,0.052,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-4,-4,-4,-4,-8,-5,-5,-5,-5,-4,1,6,1,2,9,1,1,-4,0,0,-4,-4
387114,-5,1,7,1,198602,1,3,9,3,3,3,0.743,1.001,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,1,2,6,3,1,2,3,3,-5,-5,-5,-5,1,1,6,1,1,6,1,1,-4,0,0,-4,-4
387115,-5,1,7,1,198610,0,3,8,1,1,1,1.034,-0.898,11,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,3,1,-5,-5,-5,-5,1,1,5,1,6,6,2,2,1,1,0,1,0
387116,-5,1,3,1,198606,-9,2,3,2,2,2,0.163,-4,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,20,2,3,6,3,3,3,3,2,-5,-5,-5,-5,1,1,5,1,4,7,1,1,-4,0,0,-4,-4
387117,-5,1,7,1,198701,1,1,11,2,3,2,-0.195,0.052,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,-1,3,1,1,-9,3,-5,-5,-5,-5,1,0,3,1,-3,6,-3,-3,1,0,0,1,0
387118,-5,1,3,1,198507,-4,6,8,1,1,1,-1.713,-0.332,-9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,2,3,1,-5,-5,-5,-5,1,1,5,1,4,6,1,1,1,0,0,0,0
387119,-5,1,7,1,198701,-4,2,10,1,1,1,-0.195,-4,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-9,2,1,3,1,-5,-5,-5,-5,1,1,5,1,4,4,1,1,1,0,0,0,0
387120,-5,1,3,1,198603,2,6,10,2,3,1,-0.195,-4,14,8,0,1,0,-9,-9,1,0,0,1,-9,-9,-9,-9,-9,-9,0,0,1,0,0,0,21,3,3,5,3,1,3,3,2,-5,-5,-5,-5,1,1,6,1,1,6,1,3,-4,0,0,-4,-4
387121,-5,1,3,1,198503,-9,5,10,1,2,1,-9,-0.898,99,8,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,3,3,5,3,2,2,3,2,-5,-5,-5,-5,1,1,6,1,1,7,2,3,1,1,0,1,0
387122,-5,1,7,0,198603,1,2,8,1,2,1,1.034,-4,5,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,2,2,5,3,2,2,3,2,-5,-5,-5,-5,1,1,6,1,2,6,1,1,1,1,0,1,0
387123,-5,1,3,1,198609,-9,2,6,1,1,1,0.575,-4,3,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,1,2,5,-4,-4,-4,-4,-8,-5,-5,-5,-5,-4,0,3,1,-3,6,-3,-3,-4,1,0,-4,-4
387124,-5,1,7,1,198602,1,7,9,3,3,2,0.264,-0.332,2,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,2,-1,2,1,1,3,3,-5,-5,-5,-5,1,1,5,1,6,4,1,1,-4,0,0,-4,-4
387125,-5,1,3,1,198611,-4,5,9,1,1,1,-2.361,-4,3,4,-9,1,0,-9,-9,0,0,0,0,1,1,-9,-9,-9,-9,0,0,0,0,0,0,0,2,2,5,-4,-4,-4,-4,-8,-5,-5,-5,-5,-4,1,6,1,3,9,3,2,1,-9,0,0,-9
387126,-5,1,7,1,198606,3,2,10,2,2,2,-0.653,-4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,2,2,1,2,3,1,-5,-5,-5,-5,2,0,3,0,-3,3,-3,-3,0,0,0,-3,-3
387201,-5,1,7,1,198607,2,6,11,4,4,3,0.743,0.899,15,3,1,0,0,0,0,0,0,0,0,1,0,-9,-9,0,1,0,0,0,0,0,0,8,2,2,5,3,1,1,3,4,-5,-5,-5,-5,1,1,6,1,2,8,2,1,1,1,0,1,1
387202,-5,1,6,1,198512,4,1,8,1,1,1,0.076,-0.898,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,4,1,1,3,2,-5,-5,-5,-5,1,0,3,1,-3,4,-3,-3,0,1,0,-3,-3
387203,-5,1,7,1,198601,2,2,9,2,2,2,0.743,-1.087,6,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,2,2,5,3,2,2,3,2,-5,-5,-5,-5,1,-4,-4,-4,-4,-4,-4,-4,1,1,0,0,0
387204,-5,1,7,1,198603,3,6,10,3,3,3,0.264,0.052,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,-1,3,1,1,3,3,-5,-5,-5,-5,2,1,6,1,1,6,2,2,1,0,0,1,0
387205,-5,1,7,1,198603,2,2,10,3,4,2,1.034,1.001,11,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,21,2,2,6,3,1,3,3,4,-5,-5,-5,-5,1,1,6,1,2,7,1,3,1,0,0,1,1
387206,-5,1,7,1,198505,2,6,11,3,3,2,-0.195,-0.137,3,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,3,1,2,3,2,-5,-5,-5,-5,1,1,6,1,2,6,1,1,1,1,0,1,1
387207,-5,1,7,1,198606,1,7,12,1,1,2,0.555,1.191,7,8,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,2,6,3,1,1,3,1,-5,-5,-5,-5,1,1,6,1,1,6,2,3,1,0,0,1,0
387208,-5,1,7,1,198512,1,5,8,3,2,4,0.555,-0.137,8,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,21,2,2,7,3,1,3,3,2,-5,-5,-5,-5,1,1,6,1,2,8,2,1,1,0,0,1,0
387209,-5,1,7,1,198601,-4,2,10,3,3,3,-0.195,-0.137,2,-9,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,5,3,1,1,3,2,-5,-5,-5,-5,1,-4,-4,-4,-4,-4,-4,-4,-4,0,0,-4,-4
387210,-5,1,7,1,198605,-4,2,6,1,1,1,-0.195,-0.898,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,2,2,2,3,1,3,1,-5,-5,-5,-5,1,1,-9,0,-9,9,-9,-9,-4,0,0,-4,-4
387211,-5,1,7,1,198611,1,3,9,3,3,3,-0.195,-0.137,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,3,2,1,3,3,-5,-5,-5,-5,1,1,6,1,2,6,2,1,-4,1,0,-4,-4
387213,-5,1,7,1,198511,2,7,12,3,3,3,0.264,-0.137,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,5,3,1,1,3,2,-5,-5,-5,-5,1,1,5,1,4,9,1,1,1,1,0,0,1
387214,-5,1,3,1,198603,-4,5,11,3,3,4,-0.775,0.052,10,6,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,12,3,2,-1,3,1,3,3,3,-5,-5,-5,-5,1,-4,-4,-4,-4,-4,-4,-4,-8,0,0,-8,-8
387216,-5,1,7,1,198512,4,5,10,4,4,4,-0.195,0.052,5,5,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,10,2,2,5,3,1,3,3,4,-5,-5,-5,-5,1,1,6,1,1,6,1,1,-4,1,0,-4,-4
387217,-5,1,7,1,198606,2,5,10,1,1,1,0.743,-4,6,2,-9,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,5,3,1,2,3,1,-5,-5,-5,-5,1,1,6,1,2,6,1,3,1,-9,0,0,0
387218,-5,1,7,1,198601,1,6,10,4,4,4,0.743,1.001,15,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,4,2,1,6,3,1,2,3,4,-5,-5,-5,-5,2,1,6,1,2,7,3,1,1,1,0,1,1
387220,-5,1,7,1,198607,1,4,12,2,3,2,0.555,-0.137,24,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,1,1,3,2,-5,-5,-5,-5,1,1,6,1,1,6,1,1,1,0,0,0,0
387221,-5,1,7,1,198508,3,4,8,2,2,2,0.743,-0.898,5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1,1,7,-8,1,2,-8,-8,-5,-5,-5,-5,1,1,5,1,6,4,1,1,1,1,0,0,0
387222,-5,1,7,1,198610,1,5,7,2,3,2,0.453,-0.898,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,3,3,-5,-5,-5,-5,1,1,4,1,8,7,1,1,1,0,0,0,0
387223,-5,1,7,1,198601,2,4,8,2,2,2,1.034,1.275,5,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,6,2,2,5,3,1,1,3,2,-5,-5,-5,-5,1,1,6,1,1,6,2,1,1,1,0,1,1
388101,-5,2,7,1,198607,-4,7,12,3,2,3,1.034,1.001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,99,99,5,3,1,1,3,2,-5,-5,-5,-5,1,-4,-4,-4,-4,-4,-4,-4,1,0,0,1,0
